# M nu z R Re N Naem box snap
6.801633e+14 2.789459e+00 0.00 5.934035e-02 3.733065e-02 9.88782236e+02 9.33394290e+02 0 9
1.076369e+15 3.151184e+00 0.00 1.883393e-01 7.112021e-02 2.97164355e+02 2.50066935e+02 0 9
1.696789e+15 3.575037e+00 0.00 4.372624e-03 1.493985e-01 4.70182357e+01 4.68135377e+01 0 9
2.873150e+15 4.165717e+00 0.00 -2.464330e-01 3.760433e-01 4.00102914e+00 5.30945360e+00 0 9
6.393600e+15 5.333559e+00 0.00 1.608262e+02 1.619845e+02 1.00013787e+00 6.18032055e-03 0 9
7.544644e+12 3.268614e+00 3.00 -1.537901e-04 1.131421e-02 1.94596232e+04 1.94626163e+04 1 0
1.214164e+13 3.553161e+00 3.00 1.112221e-02 1.737840e-02 6.26723487e+03 6.19829612e+03 1 0
1.957314e+13 3.877118e+00 3.00 3.353748e-03 2.754843e-02 1.63878754e+03 1.63330983e+03 1 0
3.166137e+13 4.249088e+00 3.00 -7.397566e-03 5.626011e-02 3.34353345e+02 3.36845179e+02 1 0
5.027462e+13 4.657699e+00 3.00 -2.043110e-01 1.274269e-01 4.01972696e+01 5.05188234e+01 1 0
7.594040e+13 5.071708e+00 3.00 4.050567e-03 4.477016e-01 5.01785434e+00 4.99761118e+00 1 0
7.630848e+12 2.482450e+00 2.00 1.784512e-03 7.520207e-03 9.06892060e+04 9.05276584e+04 1 1
1.237731e+13 2.702581e+00 2.00 2.137392e-03 9.680151e-03 4.08492929e+04 4.07621682e+04 1 1
1.997266e+13 2.949955e+00 2.00 4.123727e-03 1.215310e-02 1.65842398e+04 1.65161318e+04 1 1
3.231635e+13 3.233667e+00 2.00 6.831506e-03 1.805594e-02 5.86866402e+03 5.82884423e+03 1 1
5.214570e+13 3.556815e+00 2.00 -1.449998e-03 2.794094e-02 1.71317169e+03 1.71565939e+03 1 1
8.326352e+13 3.919822e+00 2.00 -1.033215e-02 5.575897e-02 3.93302553e+02 3.97408640e+02 1 1
1.305992e+14 4.320974e+00 2.00 -2.071787e-01 1.075746e-01 5.31238307e+01 6.70060603e+01 1 1
2.205933e+14 4.865235e+00 2.00 -5.940201e-01 2.341623e-01 3.00465426e+00 7.40099199e+00 1 1
7.698219e+12 1.723108e+00 1.00 7.151869e-03 5.753757e-03 2.25913718e+05 2.24309486e+05 1 2
1.249856e+13 1.876345e+00 1.00 3.612775e-03 6.462906e-03 1.28217547e+05 1.27755993e+05 1 2
2.026306e+13 2.050039e+00 1.00 1.750555e-03 8.006284e-03 6.96448492e+04 6.95231451e+04 1 2
3.279970e+13 2.247642e+00 1.00 7.035552e-03 9.397436e-03 3.58444686e+04 3.55940448e+04 1 2
5.303258e+13 2.473579e+00 1.00 2.204778e-03 1.293124e-02 1.68272146e+04 1.67901959e+04 1 2
8.596362e+13 2.735167e+00 1.00 6.001011e-03 1.581242e-02 7.13604726e+03 7.09347921e+03 1 2
1.379921e+14 3.031459e+00 1.00 1.319121e-03 2.506076e-02 2.58577457e+03 2.58236811e+03 1 2
2.228308e+14 3.379821e+00 1.00 5.054997e-02 4.230149e-02 8.07240639e+02 7.68398139e+02 1 2
3.544704e+14 3.773036e+00 1.00 -1.302503e-01 7.579126e-02 1.51161759e+02 1.73799159e+02 1 2
