# M nu z R Re N Naem box snap
3.166137e+13 4.249088e+00 3.00 -4.056041e-02 5.438046e-02 3.34353345e+02 3.48488167e+02 1 0
5.027462e+13 4.657699e+00 3.00 -2.409803e-01 1.215545e-01 4.01972696e+01 5.29594565e+01 1 0
7.594040e+13 5.071708e+00 3.00 -5.921562e-02 4.194915e-01 5.01785434e+00 5.33369225e+00 1 0
7.630848e+12 2.482450e+00 2.00 -2.759791e-03 7.486094e-03 9.06892060e+04 9.09401819e+04 1 1
1.237731e+13 2.702581e+00 2.00 -3.046938e-03 9.630073e-03 4.08492929e+04 4.09741385e+04 1 1
1.997266e+13 2.949955e+00 2.00 -2.510026e-03 1.207281e-02 1.65842398e+04 1.66259714e+04 1 1
3.231635e+13 3.233667e+00 2.00 -2.382900e-03 1.789069e-02 5.86866402e+03 5.88268186e+03 1 1
5.214570e+13 3.556815e+00 2.00 -1.465217e-02 2.757152e-02 1.71317169e+03 1.73864664e+03 1 1
8.326352e+13 3.919822e+00 2.00 -2.947979e-02 5.468017e-02 3.93302553e+02 4.05249215e+02 1 1
1.305992e+14 4.320974e+00 2.00 -2.295473e-01 1.045395e-01 5.31238307e+01 6.89514477e+01 1 1
2.205933e+14 4.865235e+00 2.00 -6.105407e-01 2.246334e-01 3.00465426e+00 7.71493788e+00 1 1
7.698219e+12 1.723108e+00 1.00 2.682838e-03 5.728226e-03 2.25913718e+05 2.25309250e+05 1 2
1.249856e+13 1.876345e+00 1.00 -2.621509e-04 6.437953e-03 1.28217547e+05 1.28251168e+05 1 2
2.026306e+13 2.050039e+00 1.00 -1.557446e-03 7.979846e-03 6.96448492e+04 6.97534864e+04 1 2
3.279970e+13 2.247642e+00 1.00 4.184771e-03 9.370833e-03 3.58444686e+04 3.56950928e+04 1 2
5.303258e+13 2.473579e+00 1.00 -3.503083e-04 1.289827e-02 1.68272146e+04 1.68331114e+04 1 2
8.596362e+13 2.735167e+00 1.00 3.381079e-03 1.577124e-02 7.13604726e+03 7.11200102e+03 1 2
1.379921e+14 3.031459e+00 1.00 -1.884570e-03 2.498058e-02 2.58577457e+03 2.59065684e+03 1 2
2.228308e+14 3.379821e+00 1.00 4.570197e-02 4.210628e-02 8.07240639e+02 7.71960524e+02 1 2
3.544704e+14 3.773036e+00 1.00 -1.365369e-01 7.524344e-02 1.51161759e+02 1.75064526e+02 1 2
5.657233e+14 4.235969e+00 1.00 -2.316854e-01 1.724823e-01 2.10156186e+01 2.73528821e+01 1 2
1.018220e+15 4.935528e+00 1.00 1.700466e-01 6.748628e-01 3.00141061e+00 2.56520596e+00 1 2
7.707480e+12 1.615196e+00 0.85 3.094398e-03 5.385275e-03 2.45690542e+05 2.44932623e+05 1 3
1.251158e+13 1.758801e+00 0.85 -4.816414e-04 6.275165e-03 1.42929372e+05 1.42998246e+05 1 3
2.029009e+13 1.921733e+00 0.85 1.340030e-03 7.469136e-03 8.04103114e+04 8.03027034e+04 1 3
3.284791e+13 2.107047e+00 0.85 2.834810e-04 8.524962e-03 4.28089492e+04 4.27968171e+04 1 3
5.322475e+13 2.319896e+00 0.85 2.506720e-03 1.225558e-02 2.13090428e+04 2.12557605e+04 1 3
8.623410e+13 2.565055e+00 0.85 2.913723e-03 1.468692e-02 9.62602022e+03 9.59805415e+03 1 3
1.388803e+14 2.845072e+00 0.85 2.869148e-04 2.069829e-02 3.81046711e+03 3.80937414e+03 1 3
2.219875e+14 3.164711e+00 0.85 2.153598e-02 3.398124e-02 1.29599758e+03 1.26867541e+03 1 3
3.552365e+14 3.537858e+00 0.85 2.240365e-03 6.183272e-02 3.33356127e+02 3.32610957e+02 1 3
5.654645e+14 3.969399e+00 0.85 -1.878910e-01 1.081169e-01 5.10379454e+01 6.28461786e+01 1 3
9.267833e+14 4.511088e+00 0.85 -2.071450e-01 3.728375e-01 6.00303606e+00 7.57141756e+00 1 3
1.405000e+15 5.047795e+00 0.85 1.041127e+00 2.043123e+00 1.00036577e+00 4.90104566e-01 1 3
7.710842e+12 1.509881e+00 0.70 3.613376e-03 5.308895e-03 2.63841860e+05 2.62891933e+05 1 4
1.252088e+13 1.644218e+00 0.70 1.814738e-03 5.952371e-03 1.57307346e+05 1.57022391e+05 1 4
2.031371e+13 1.796687e+00 0.70 3.716003e-04 7.024738e-03 9.07927107e+04 9.07589846e+04 1 4
3.293264e+13 1.970504e+00 0.70 7.207933e-03 8.524367e-03 5.05390951e+04 5.01774197e+04 1 4
5.335312e+13 2.169533e+00 0.70 -7.597760e-03 1.064412e-02 2.59204748e+04 2.61189201e+04 1 4
8.639982e+13 2.398605e+00 0.70 8.063390e-03 1.362729e-02 1.26286288e+04 1.25276137e+04 1 4
1.394878e+14 2.661945e+00 0.70 8.277666e-03 1.862829e-02 5.42000235e+03 5.37550571e+03 1 4
2.244337e+14 2.965672e+00 0.70 1.400230e-02 2.841926e-02 2.00907030e+03 1.98132716e+03 1 4
3.617223e+14 3.321469e+00 0.70 2.291099e-02 4.640208e-02 6.06638991e+02 5.93051591e+02 1 4
5.785659e+14 3.731887e+00 0.70 -1.220373e-01 8.036988e-02 1.17085509e+02 1.33360462e+02 1 4
8.858060e+14 4.166519e+00 0.70 -2.577057e-01 2.017768e-01 1.50078628e+01 2.02182099e+01 1 4
1.371400e+15 4.686985e+00 0.70 1.263603e-01 7.964555e-01 2.00074547e+00 1.77629267e+00 1 4
7.718134e+12 1.408197e+00 0.55 4.038557e-03 5.156497e-03 2.79933050e+05 2.78807072e+05 1 5
1.252668e+13 1.533365e+00 0.55 2.823606e-03 5.811469e-03 1.70424267e+05 1.69944411e+05 1 5
2.033111e+13 1.675683e+00 0.55 1.581041e-03 6.683623e-03 1.00948618e+05 1.00789266e+05 1 5
3.297697e+13 1.837982e+00 0.55 1.117952e-02 8.016799e-03 5.82250008e+04 5.75812697e+04 1 5
5.336711e+13 2.023202e+00 0.55 1.851018e-03 9.995804e-03 3.13177030e+04 3.12598404e+04 1 5
